date,Acceptable PM2.5 AQI & Speciation Mass,Carbon Monoxide,Nitrogen dioxide,Sulfur dioxide
2021-03-04,5.11,0.21667999999999998,12.983333333333333,0.8200000000000001
2021-03-05,3.442857142857143,0.2025,10.504999999999999,0.94
2021-03-06,4.566666666666666,0.19022727272727272,7.876666666666667,0.92
2021-03-07,3.8699999999999997,0.20957692307692308,7.006666666666666,0.8066666666666666
2021-03-08,5.833333333333333,0.28456521739130436,19.984,0.9666666666666667
2021-03-09,10.137037037037036,0.30236842105263156,20.173333333333336,1.4866666666666668
2021-03-10,6.765384615384615,0.274695652173913,11.945454545454545,0.25333333333333335
2021-08-04,7.466666666666667,0.36160000000000003,15.546666666666665,0.3
2021-08-05,7.576923076923077,0.25155555555555553,10.182142857142859,0.04000000000000001
2021-08-06,11.193333333333333,0.30093333333333333,12.596666666666666,0.35454545454545455
2021-08-07,7.033333333333333,0.24730000000000002,7.632142857142857,0.21333333333333335
2021-08-08,5.873333333333333,0.20816666666666667,4.71,0.08
2021-08-09,5.13,0.23983333333333334,9.683333333333334,0.06666666666666667
2021-08-10,6.77,0.2048148148148148,6.489999999999999,0.075
2021-12-19,5.743333333333334,0.22876666666666665,7.783333333333333,0.1
2021-12-20,6.666666666666667,0.32943333333333336,23.029999999999998,0.38
2021-12-21,11.853333333333333,0.5430666666666667,32.68333333333333,1.5333333333333334
2021-12-22,8.870000000000001,0.31829999999999997,16.282142857142855,1.5866666666666667
2021-12-23,7.463333333333334,0.29764285714285715,16.164285714285715,0.9333333333333332
2021-12-24,8.91,0.37360714285714286,18.64,0.44
2021-12-25,14.49,0.5901333333333334,24.32,0.5666666666666667
2021-12-26,6.9366666666666665,0.25176666666666664,6.803333333333333,0.25333333333333335
2022-03-04,5.946666666666667,0.29676,19.07,0.74
2022-03-05,7.62,0.38025000000000003,22.317857142857143,0.7000000000000001
2022-03-06,13.966666666666667,0.38053333333333333,19.37,0.26666666666666666
2022-03-07,11.307142857142859,0.33117857142857143,15.556666666666667,0.2866666666666667
2022-03-08,4.023333333333333,0.2438,14.748148148148148,0.84
2022-03-09,4.796666666666667,0.3600333333333333,24.6,0.11666666666666668
2022-03-10,7.930000000000001,0.3724,27.623333333333335,0.48666666666666664
2022-08-04,11.78,0.23683333333333334,9.978947368421052,0.3
2022-08-05,8.896666666666667,0.25129999999999997,15.546666666666665,0.3266666666666667
2022-08-06,5.046666666666667,0.18207407407407408,7.8533333333333335,0.20666666666666667
2022-08-07,3.9266666666666667,0.14616666666666667,6.066666666666666,0.02666666666666667
2022-08-08,6.741666666666667,0.17575,7.3133333333333335,0.04000000000000001
2022-08-09,7.05,0.24222222222222223,11.24642857142857,0.038461538461538464
2022-08-10,3.6366666666666663,0.22016666666666668,10.213333333333333,0.24000000000000002
2022-12-19,7.653333333333333,0.2592857142857143,14.234615384615385,0.8133333333333332
2022-12-20,6.733333333333333,0.2736,17.04,1.9846153846153847
2022-12-21,12.37142857142857,0.5359666666666667,26.333333333333332,1.16
2022-12-22,5.15,0.3783,19.240000000000002,0.5333333333333333
2022-12-23,8.860000000000001,0.20529999999999998,8.25,0.22666666666666666
2022-12-24,11.246666666666666,0.18639999999999998,9.31,0.7533333333333334
2022-12-25,9.66,0.18080000000000002,10.526666666666667,1.1866666666666668
2022-12-26,9.586666666666668,0.23923333333333333,16.86,1.5066666666666668
