ID_taxis,Taxis,payment_type,total_amount,PU_ID_borough,DO_ID_borough,pickup_hour,date
121,Green,1.0,7.3,5,5,20,6/8/2019
122,Green,1.0,8.16,3,3,12,7/8/2019
123,Green,2.0,7.3,2,3,13,7/8/2019
124,Green,2.0,9.3,2,2,13,7/8/2019
125,Green,2.0,6.3,3,3,14,7/8/2019
126,Green,2.0,11.3,5,5,14,7/8/2019
127,Green,2.0,16.3,3,3,14,7/8/2019
128,Green,1.0,32.46,3,1,14,7/8/2019
129,Green,1.0,9.3,5,5,15,7/8/2019
130,Green,2.0,9.8,1,1,18,7/8/2019
131,Green,2.0,11.8,1,1,20,7/8/2019
132,Green,1.0,10.1,5,5,20,7/8/2019
133,Green,2.0,23.8,3,2,7,8/8/2019
134,Green,1.0,8.3,3,3,9,8/8/2019
135,Green,1.0,11.0,1,6,10,8/8/2019
136,Green,2.0,19.55,3,3,11,8/8/2019
137,Green,2.0,12.3,3,3,12,8/8/2019
138,Green,2.0,12.05,3,3,12,8/8/2019
139,Green,2.0,4.3,3,3,13,8/8/2019
140,Green,1.0,17.8,5,5,14,8/8/2019
141,Green,1.0,23.8,5,5,15,8/8/2019
142,Green,2.0,12.3,1,1,16,8/8/2019
143,Green,1.0,10.8,3,2,16,8/8/2019
144,Green,2.0,10.3,3,3,18,8/8/2019
145,Green,1.0,14.16,1,1,17,8/8/2019
146,Green,2.0,10.3,5,5,17,8/8/2019
147,Green,1.0,8.16,2,2,18,8/8/2019
148,Green,1.0,44.8,5,5,18,8/8/2019
149,Green,2.0,8.8,3,3,19,8/8/2019
150,Green,2.0,6.8,5,5,19,8/8/2019
151,Green,2.0,12.3,3,3,20,8/8/2019
152,Green,1.0,13.0,5,5,20,8/8/2019
153,Green,2.0,6.3,1,1,9,9/8/2019
154,Green,2.0,35.42,3,1,10,9/8/2019
155,Green,1.0,6.3,1,1,10,9/8/2019
156,Green,2.0,6.8,3,3,11,9/8/2019
157,Green,2.0,11.8,1,1,11,9/8/2019
158,Green,2.0,8.8,1,1,11,9/8/2019
159,Green,2.0,8.3,1,1,15,9/8/2019
160,Green,1.0,98.92,1,2,15,9/8/2019
161,Green,1.0,14.4,3,2,16,9/8/2019
162,Green,1.0,12.51,5,5,16,9/8/2019
163,Green,2.0,9.3,1,1,16,9/8/2019
164,Green,2.0,16.55,3,3,16,9/8/2019
165,Green,2.0,15.8,5,5,16,9/8/2019
166,Green,1.0,42.36,5,3,17,9/8/2019
167,Green,1.0,13.56,1,1,19,9/8/2019
168,Green,1.0,19.3,1,5,10,10/8/2019
169,Green,2.0,8.8,3,3,10,10/8/2019
170,Green,2.0,38.05,3,5,11,10/8/2019
171,Green,1.0,24.55,5,3,12,10/8/2019
172,Green,2.0,16.3,5,5,15,10/8/2019
173,Green,1.0,17.3,2,2,15,10/8/2019
174,Green,2.0,4.3,5,5,17,10/8/2019
175,Green,2.0,8.3,3,3,17,10/8/2019
176,Green,2.0,11.3,1,1,18,10/8/2019
177,Green,1.0,22.8,3,3,18,10/8/2019
178,Green,2.0,26.3,1,1,18,10/8/2019
179,Green,1.0,23.55,5,3,19,10/8/2019
180,Green,2.0,10.3,1,1,19,10/8/2019
181,Green,2.0,32.3,3,2,20,10/8/2019
